"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"182","Motley Fool Wealth Management LLC Raises Position in Nestle SA $NSRGY https://t.co/K9tWd79hQD",FALSE,0,NA,2017-05-27 01:56:51,FALSE,NA,"868284835768541184",NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>","TheMarketsDaily",0,FALSE,FALSE,NA,NA
"183","RT @nestlewatERB: Enjoying Nestlé by the water this morning http://t.co/nOQbslfs7t",FALSE,0,NA,2017-05-27 01:56:38,FALSE,NA,"868284781158682626",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JacksonFlowers8",1,TRUE,FALSE,NA,NA
"184","RT @BigMouthFilter: Thousands sign petitions against @Nestle bottled water plant in #Phoenix #BanTheBottle https://t.co/MHs043umrG",FALSE,0,NA,2017-05-27 01:55:59,FALSE,NA,"868284617098440705",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ehkeane1",23,TRUE,FALSE,NA,NA
"185","Our 2030 ambition: Help 50 million children lead healthier lives to drive the #GlobalGoals: https://t.co/H55yUn5chv… https://t.co/5ICHJcVbwF",FALSE,0,NA,2017-05-27 01:55:07,TRUE,NA,"868284399212789760",NA,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>","nestleaunews",0,FALSE,FALSE,NA,NA
"186","Interested in a #job in #Stanwood, MI? This could be a great fit: https://t.co/LxjAEtFo6V #SupplyChain #Hiring #CareerArc",FALSE,0,NA,2017-05-27 01:51:06,FALSE,NA,"868283388502736896",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","NWNAjobs",0,FALSE,FALSE,NA,NA
"187","@ryenarussillo Did you nestle @dannykanell in ypur bosom lke that when he was fired by espn?",FALSE,0,"ryenarussillo",2017-05-27 01:48:31,FALSE,"868274187156287489","868282739878920192","40390377","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JayBayer6",0,FALSE,FALSE,NA,NA
"188","One Of CALIFORNIA’s BIGGEST EMPLOYERS Tells The State ENOUGH, ANNOUNCES PLANS TO … https://t.co/4Q8rHaLAB8",FALSE,0,NA,2017-05-27 01:48:11,FALSE,NA,"868282655133052928",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","geneomckinney",0,FALSE,FALSE,NA,NA
"189","Nestle Sparkling Water $0.50 + Optimum Points! https://t.co/h3ZK6MIGkC https://t.co/185xUmdrRL",FALSE,0,NA,2017-05-27 01:46:46,FALSE,NA,"868282297501577216",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","Canadiansaves",0,FALSE,FALSE,NA,NA
"190","RT @garytaubes: Making progress, one company at a time. Nestle cuts back on sugar, says the WSJ. https://t.co/0VvXT1sMFM",FALSE,0,NA,2017-05-27 01:46:30,FALSE,NA,"868282229365112833",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","janet_langkop",36,TRUE,FALSE,NA,NA
"191","After a truly terrible week it's so good to nestle back into the @totaluprawr nest. Fucking great people and music before @SlamDunkMusic",FALSE,0,NA,2017-05-27 01:43:07,FALSE,NA,"868281381100584961",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JamieKinman1",0,FALSE,FALSE,NA,NA
"192","Nestlé Waters Invests $6M to Close the '#Recycling Gap' - #Environmental Leader #environment #CutlivateScienceArt… https://t.co/2l6nCuogW9",FALSE,0,NA,2017-05-27 01:40:03,TRUE,NA,"868280610124701696",NA,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","CultivateSc",0,FALSE,FALSE,NA,NA
"193","RT @EllaTuker: Nestle slash sugar in Milkybars
       
https://t.co/0zGmyNmHqT",FALSE,0,NA,2017-05-27 01:38:49,FALSE,NA,"868280298793951241",NA,"<a href=""https://www.getcontentkitchen.com"" rel=""nofollow"">Content Kitchen Twitter Search</a>","ThriveContent",1,TRUE,FALSE,NA,NA
"194","Nestle slash sugar in Milkybars
       
https://t.co/0zGmyNmHqT",FALSE,0,NA,2017-05-27 01:37:29,FALSE,NA,"868279964088619009",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","EllaTuker",1,FALSE,FALSE,NA,NA
"195","RT @jennyloda: Where Nestlé Guzzles Water, Michigan Neighbors Take Exception https://t.co/s3D7MtEBPE",FALSE,0,NA,2017-05-27 01:37:10,FALSE,NA,"868279881624281090",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WhatMollySaid",1,TRUE,FALSE,NA,NA
"196","@Cloud10LV Literally all I buy for home. Dasani is my preference but Nestle is nicer on my pockets because I run through water like crazy.",FALSE,0,"Cloud10LV",2017-05-27 01:34:09,FALSE,"868278198156611585","868279125211009025","22529401","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","JustKendra_",0,FALSE,FALSE,NA,NA
"197","But that nasty ass metallic, rusty after taste in Nestle. NO MAM",FALSE,0,NA,2017-05-27 01:31:42,FALSE,NA,"868278506731524098",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cloud10LV",0,FALSE,FALSE,NA,NA
"198","@JustKendra_ You like Nestle? Gotta rethink this biy shipment of Poo Oil. ISSA BLOCK ON THE HORIZON",FALSE,0,"JustKendra_",2017-05-27 01:30:28,FALSE,"868277418347421696","868278198156611585","110640937","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cloud10LV",0,FALSE,FALSE,NA,NA
"199","Nestle slash sugar in Milkybars
       
https://t.co/ZeVpPDnOlk",FALSE,0,NA,2017-05-27 01:29:11,FALSE,NA,"868277874406694912",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","SoleneDeplanche",0,FALSE,FALSE,NA,NA
"200","Boston Private Wealth LLC Sells 3,052 Shares of Nestle SA $NSRGY https://t.co/zC3GErA6Pg",FALSE,0,NA,2017-05-27 01:28:09,FALSE,NA,"868277614401683456",NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>","midetimes",0,FALSE,FALSE,NA,NA
